Partner,2014,2015,2016,2017,2018,2019
Moldova,2044257,1953552,1276120,1017956,403096,3165815
Serbia,6840302,3694884,6604526,2807671,1871057,3141124
Cyprus,9772924,3118970,3212947,3107696,4011036,2973076
Uganda,6448066,3595322,4299964,2778224,3759435,2927716
Nepal,719426,821184,2343276,3527447,1721488,2855211
Montenegro,1851727,1315172,1450061,1773201,2397988,2846645
Mozambique,1126689,1984487,4188543,820267,1237068,2656092
Mauritius,2588705,3370178,1932744,2988563,3655663,2592195
Malta,3891396,2322656,4333048,19694620,1429851,2545857
Cape Verde,107575,493667,233135,1096565,40653,2465983
Zambia,1453113,2391558,1760654,1618626,1508981,2458657
Belize,4032203,4424126,2738416,4393082,3709670,2444497
Macedonia,1682663,3443006,3498830,4141105,6470495,2341219
Gabon,7646456,9895162,1957019,2681535,2037903,2326732
Zimbabwe,1549319,1491272,1368825,1588145,1916057,2267458
South Sudan,146630,255573,334430,1054181,86041,2177158
Mongolia,4616995,1060650,2566460,1460172,3673111,2134946
Bosnia and Herzegovina,19605279,447470,777998,433011,447372,2069757
Republic of the Congo,3907005,3117721,2105276,1274608,1951467,2046887
Burkina Faso,16531557,7562816,774317,2461959,3769758,2021415
Tanzania,7887046,3074301,3799424,2793179,3620508,2000930
Suriname,1650628,4704288,1260631,1192856,1335276,1931840
Cameroon,14785928,2895357,2758094,5513231,4873649,1907543
Djibouti,2026383,1462733,1185018,1664072,1248015,1676655
Sudan,19079022,2206567,2382732,1960063,2153217,1578911
Anguilla,969901,1051731,1656106,685013,1430929,1577499
French Polynesia,1180465,2580528,797818,1032517,1852695,1493911
Swaziland,588971,6166640,1344713,1014548,5133988,1411850
Angola,17518712,8503926,12535993,44925236,4520935,1323849
Congo,34893621,46868381,1274470,664069,1917094,1207553
Saint Vincent and the Grenadines,2452842,1143552,1127271,836524,2307965,1040106
Andorra,379971,405698,317333,723405,783546,1026709
Brunei,18103390,7369561,9607533,2444543,10520664,765706
Guadeloupe,2157795,4314526,1334552,1133125,1516138,759297
Martinique,873368,859117,995593,634242,527679,704065
Yemen,47110944,8174063,2450257,5096644,577828,700564
Malawi,5093440,8286619,421064,311194,299014,573175
Christmas Island,0,14000,215266,0,70200,571026
Seychelles,732026,1145429,534266,1177484,388450,509605
Bhutan,34344,39060,10906,24421,169531,496718
Maldives,929870,565739,774196,1038981,2158474,469947
Reunion,295497,173251,262884,70539,290808,451231
Fiji,2106900,2362473,1303774,392817,245508,416073
Somalia,19369,146106,1477457,442581,761465,396898
Kosovo,940325,1872420,1585408,1363052,1112178,381555
Lesotho,510840,22103,51131,18488,194829,364278
Montserrat,43158,74692,55161,118691,18796,344350
Equatorial Guinea,2309448,4517534,393433,290272,256527,333349
Faroe Islands,9407,0,3463,6493,0,323241
Rwanda,737494,274790,117011,210062,551561,282934
Tajikistan,16400,264602,31530,1121865,3571578,257608
Micronesia (Federated States of),68431,24637,135855,208117,69588,221139
Niger,949262,1122157,474503,563118,152800,201189
Lao PDR,3751854,1269068,273767,308469,118867,188355
Turkmenistan,4473860,1768845,12562868,30500718,4166450,175836
British Indian Ocean Territory,6797,5000,317024,751498,470460,174096
Timor-Leste,35607,32583,22796,109779,0,145437
Burundi,373943,215780,2760,105121,73695,119646
West Bank,532054,11463,0,0,19010,117556
Marshall Islands,35036,374162,58866,42944,458102,102432
Vanuatu,46046,148578,46608,5490,24346,99842
Samoa,31550,222551,17431,31546,918283,66631
Mayotte,29716,5583,0,0,45090,64867
Greenland,194384,134940,144827,1239693,128038,54597
Svalbard and Jan Mayen Island,0,15594,0,0,33254,52027
New Caledonia,371631,540879,942046,460775,189890,38886
Guinea Bissau,558394,95127,62099,46810,122772,33668
Solomon Islands,24106,502602,108600,90758,5442,30893
Cook Islands,27965,67108,32531,17763,63544,30391
French Guiana,435246,174849,152033,220647,93130,29350
French Southern Territories,2712,29280,50354,0,7020,23300
Nauru,9980,0,0,0,0,9855
Niue,7000,0,14606,0,0,8700
Western Sahara,80577,0,0,0,19971,0
Wallis and Futuna,0,36140,30480,19334,9667,0
Vatican City,258385,925901,0,0,0,0
Tuvalu,4375,57444,0,36915,7549,0
Tonga,243393,67116,11273,0,588458,0
Tokelau Islands,66965,0,1344035,89790,0,0
Syria,15488,12320,10430,644903,13863625,0
Serbia and Montenegro,0,0,0,0,0,0
Sao Tome and Principe,120108,122678,4879,49336,0,0
San Marino,287796,11772,82582,30407,0,0
Saint Pierre and Miquelon,0,0,0,0,108747,0
Saint Helena,0,0,0,0,0,0
Pitcairn Islands,0,0,0,0,0,0
Palau,68375,35475,210515,32131,76756,0
Other Countries,0,0,0,0,0,0
Dem. Rep. Korea,0,1206688,2650,0,0,0
Norfolk Island,0,0,22042,0,0,0
Netherlands Antilles,0,0,0,0,0,0
Kiribati,46929,1288859,29588,2847,19437,0
Heard Island and Mcdonald Islands,0,0,0,0,0,0
Gaza Strip,0,21350,0,0,0,0
Falkland Islands (Malvinas),9000,3818,5000,0,0,0
Eritrea,9238,22955,175427,28795,0,0
Comoros,2600,7500,49473,0,0,0
Cocos (Keeling) Islands,0,20614,0,11500,52000,0
